conta;sex;idade;cartao;status_loan;loan_am;trans_sum;avg_sal;unemp_r;entrep_no
97;M;42;classic;A;102876;464438;10673;1,25;100
105;F;50;classic;C;352704;335866;9104;2;123
110;M;53;classic;C;162576;618758;9198;1,333333333;131
132;F;45;classic;A;88440;769228;9317;1,166666667;97
226;F;44;classic;C;109344;536838;10177;1,166666667;81
276;M;71;classic;C;160920;684890;8965;1,142857143;104
303;F;56;classic;C;112752;413199;8678;1;102
339;F;47;classic;C;468060;1229565;8369;2;117
544;M;42;classic;A;91152;635330;9272;1,5;118
666;F;40;classic;A;12540;397255;8561;1;110
675;F;45;classic;C;102240;316168;8757;1;96
718;F;56;classic;A;76944;1546279;12541;1;167
790;M;51;classic;B;208128;354022;9897;1;140
825;M;48;classic;A;53076;442490;8402;1;120
846;F;77;classic;A;187104;1258061;8994;1,333333333;110
940;F;58;gold;C;284280;975623;9065;1,25;123
960;F;58;classic;C;189060;1111660;9753;1,25;109
993;F;66;classic;C;108720;975725;8546;2;126
1480;F;45;classic;C;123300;972190;9832;1,333333333;114
1580;M;68;classic;C;194256;457882;8173;;124
1698;F;50;classic;C;141948;508312;9893;1;96
1766;M;51;classic;C;30060;500612;8594;2;112
1843;F;40;classic;A;105804;498611;10045;1;135
1862;F;50;classic;C;396120;1017567;8402;1;120
1869;F;66;classic;C;37944;653125;12541;1;167
1876;M;79;junior;C;209040;499466;12541;1;167
2000;M;37;classic;C;290820;494640;9307;1,333333333;118
2051;F;75;gold;D;293880;1626734;9624;2;145
2062;F;40;classic;A;86184;1131441;10177;1,166666667;81
2080;M;37;classic;C;214596;1255985;10673;1,25;100
2116;F;74;classic;A;92400;487052;10177;1,166666667;81
2143;F;80;junior;C;71460;595768;12541;1;167
2153;M;43;classic;A;61560;758324;8930;1,333333333;108
2167;F;65;classic;A;170256;639328;8427;1;107
2218;F;51;classic;C;182040;1095981;8402;1;120
2227;F;70;classic;A;92976;1511168;8930;1,333333333;108
2262;M;50;classic;C;230220;1798948;8598;1,5;123
2279;M;74;classic;C;314688;995772;8507;1;132
2350;F;73;classic;C;159744;1275989;8968;1,5;131
2699;F;78;junior;C;231168;1159503;8746;1;90
2725;M;47;classic;C;69624;516071;8363;1,5;108
2824;F;47;gold;C;50460;406753;9622;1;154
2910;F;53;classic;C;437460;1157141;9893;1;96
2912;M;49;classic;C;380160;1440879;10673;1,25;100
2982;M;38;gold;C;41256;1277585;8402;1;120
2986;M;58;classic;C;24792;577633;8288;1,333333333;110
2994;F;64;classic;C;48744;517270;8909;1,25;113
3050;M;72;classic;A;82896;1053541;8208;2;155
3112;F;77;junior;C;123216;443283;8965;1,142857143;104
3166;M;72;classic;D;177744;1052088;8444;1;106
3229;M;36;classic;A;39024;620727;9624;2;145
3293;F;64;classic;C;276084;1184317;12541;1;167
3664;M;76;classic;C;271584;882382;12541;1;167
4099;F;60;classic;C;41856;455695;9897;1;140
4337;M;49;classic;A;51408;1009374;8843;1,5;113
4342;F;48;classic;C;100128;1158289;10673;1,25;100
4354;F;42;classic;C;327660;806870;8965;1,142857143;104
4361;F;46;gold;A;90156;1223088;8173;;124
4423;F;67;classic;A;73836;1575318;10446;1,285714286;90
4448;F;71;classic;A;192744;486365;8441;1,333333333;115
4456;M;70;classic;C;321240;475930;10045;1;135
4503;M;75;junior;C;135360;956348;8187;1,25;94
4533;F;44;classic;C;81144;1653385;9893;1;96
4580;F;73;classic;A;20220;1473118;8899;1;149
4585;M;47;classic;C;64656;349926;8561;1;110
4616;M;76;classic;C;66696;1588006;12541;1;167
4631;M;51;classic;C;87528;577636;8909;1,25;113
4715;F;55;classic;C;97176;1198875;11277;1;127
4746;M;53;classic;C;204780;1210705;9897;1;140
